dataset,n,Impacto Optimo,Impacto Conseguido,tiempo
H1,6,1,1.0,0.0
H1,8,6,5.0,0.0
H1,10,3,3.0,0.0
H1,12,16,14.0,0.997
H1,14,12,9.0,0.997
H1,16,20,19.0,0.996
H1,18,27,17.0,0.998
H1,20,25,17.0,0.998
H1,22,26,23.0,0.998
H1,24,33,21.0,0.998
H1,26,38,29.0,1.994
H1,28,48,30.0,1.994
H1,30,47,32.0,1.996
H2,6,1,1.0,0.0
H2,8,6,4.0,0.0
H2,10,3,2.0,0.0
H2,12,16,10.0,0.998
H2,14,12,5.0,1.995
H2,16,20,10.0,2.993
H2,18,27,8.0,3.989
H2,20,25,11.0,5.985
H2,22,26,14.0,7.979
H2,24,33,8.0,10.972
H2,26,38,5.0,12.966
H2,28,48,18.0,15.957
H2,30,47,10.0,22.936
TB-H1-MSE-MBI,6,1,1.0,4.984
TB-H1-MSE-MBI,8,6,5.0,9.973
TB-H1-MSE-MBI,10,3,3.0,13.959
TB-H1-MSE-MBI,12,16,16.0,20.943
TB-H1-MSE-MBI,14,12,11.0,24.935
TB-H1-MSE-MBI,16,20,20.0,29.92
TB-H1-MSE-MBI,18,27,23.0,33.905
TB-H1-MSE-MBI,20,25,24.0,42.887
TB-H1-MSE-MBI,22,26,26.0,54.851
TB-H1-MSE-MBI,24,33,24.0,62.833
TB-H1-MSE-MBI,26,38,32.0,76.793
TB-H1-MSE-MBI,28,48,36.0,86.766
TB-H1-MSE-MBI,30,47,42.0,98.429
TB-H1-ME-MBI,6,1,1.0,3.99
TB-H1-ME-MBI,8,6,5.0,7.979
TB-H1-ME-MBI,10,3,3.0,11.968
TB-H1-ME-MBI,12,16,16.0,15.958
TB-H1-ME-MBI,14,12,10.0,23.936
TB-H1-ME-MBI,16,20,19.0,25.932
TB-H1-ME-MBI,18,27,26.0,30.918
TB-H1-ME-MBI,20,25,24.0,38.896
TB-H1-ME-MBI,22,26,25.0,47.874
TB-H1-ME-MBI,24,33,26.0,60.164
TB-H1-ME-MBI,26,38,31.0,73.868
TB-H1-ME-MBI,28,48,36.0,82.778
TB-H1-ME-MBI,30,47,39.0,93.747
TB-H2-MSE-MBI,6,1,1.0,3.99
TB-H2-MSE-MBI,8,6,6.0,8.976
TB-H2-MSE-MBI,10,3,3.0,13.963
TB-H2-MSE-MBI,12,16,13.0,16.955
TB-H2-MSE-MBI,14,12,12.0,25.932
TB-H2-MSE-MBI,16,20,19.0,35.906
TB-H2-MSE-MBI,18,27,21.0,42.886
TB-H2-MSE-MBI,20,25,19.0,52.859
TB-H2-MSE-MBI,22,26,23.0,56.848
TB-H2-MSE-MBI,24,33,27.0,80.784
TB-H2-MSE-MBI,26,38,37.0,83.774
TB-H2-MSE-MBI,28,48,39.0,97.774
TB-H2-MSE-MBI,30,47,34.0,118.682
TB-H2-ME-MBI,6,1,1.0,4.928
TB-H2-ME-MBI,8,6,6.0,7.978
TB-H2-ME-MBI,10,3,3.0,11.968
TB-H2-ME-MBI,12,16,13.0,15.957
TB-H2-ME-MBI,14,12,9.0,23.935
TB-H2-ME-MBI,16,20,19.0,26.928
TB-H2-ME-MBI,18,27,23.0,32.912
TB-H2-ME-MBI,20,25,19.0,41.846
TB-H2-ME-MBI,22,26,23.0,53.857
TB-H2-ME-MBI,24,33,26.0,67.14
TB-H2-ME-MBI,26,38,33.0,82.778
TB-H2-ME-MBI,28,48,39.0,92.752
TB-H2-ME-MBI,30,47,34.0,111.228
TB-H1-MSE-BI,6,1,1.0,53.855
TB-H1-MSE-BI,8,6,5.0,103.722
TB-H1-MSE-BI,10,3,3.0,170.545
TB-H1-MSE-BI,12,16,16.0,248.334
TB-H1-MSE-BI,14,12,11.0,244.347
TB-H1-MSE-BI,16,20,20.0,283.242
TB-H1-MSE-BI,18,27,23.0,350.064
TB-H1-MSE-BI,20,25,25.0,429.706
TB-H1-MSE-BI,22,26,26.0,791.881
TB-H1-MSE-BI,24,33,32.0,783.625
TB-H1-MSE-BI,26,38,32.0,827.706
TB-H1-MSE-BI,28,48,45.0,860.934
TB-H1-MSE-BI,30,47,42.0,1188.64
TB-H1-ME-BI,6,1,1.0,40.891
TB-H1-ME-BI,8,6,5.0,62.831
TB-H1-ME-BI,10,3,3.0,110.759
TB-H1-ME-BI,12,16,16.0,149.6
TB-H1-ME-BI,14,12,11.0,206.931
TB-H1-ME-BI,16,20,20.0,278.292
TB-H1-ME-BI,18,27,27.0,290.222
TB-H1-ME-BI,20,25,24.0,368.016
TB-H1-ME-BI,22,26,25.0,458.193
TB-H1-ME-BI,24,33,32.0,573.376
TB-H1-ME-BI,26,38,32.0,685.002
TB-H1-ME-BI,28,48,41.0,788.698
TB-H1-ME-BI,30,47,42.0,882.889
TB-H2-MSE-BI,6,1,1.0,47.888
TB-H2-MSE-BI,8,6,6.0,66.821
TB-H2-MSE-BI,10,3,3.0,175.53
TB-H2-MSE-BI,12,16,13.0,196.514
TB-H2-MSE-BI,14,12,12.0,280.25
TB-H2-MSE-BI,16,20,20.0,331.115
TB-H2-MSE-BI,18,27,22.0,351.039
TB-H2-MSE-BI,20,25,19.0,485.283
TB-H2-MSE-BI,22,26,23.0,633.913
TB-H2-MSE-BI,24,33,27.0,698.68
TB-H2-MSE-BI,26,38,38.0,743.523
TB-H2-MSE-BI,28,48,40.0,1018.34
TB-H2-MSE-BI,30,47,41.0,1295.02
TB-H2-ME-BI,6,1,1.0,40.888
TB-H2-ME-BI,8,6,6.0,63.185
TB-H2-ME-BI,10,3,3.0,112.968
TB-H2-ME-BI,12,16,13.0,147.606
TB-H2-ME-BI,14,12,11.0,210.297
TB-H2-ME-BI,16,20,20.0,239.36
TB-H2-ME-BI,18,27,24.0,296.291
TB-H2-ME-BI,20,25,19.0,373.583
TB-H2-ME-BI,22,26,23.0,466.714
TB-H2-ME-BI,24,33,28.0,581.99
TB-H2-ME-BI,26,38,36.0,708.61
TB-H2-ME-BI,28,48,40.0,799.424
TB-H2-ME-BI,30,47,40.0,911.848
TB-H1-MSE-MI,6,1,1.0,112.683
TB-H1-MSE-MI,8,6,5.0,207.754
TB-H1-MSE-MI,10,3,3.0,351.096
TB-H1-MSE-MI,12,16,16.0,499.187
TB-H1-MSE-MI,14,12,11.0,543.973
TB-H1-MSE-MI,16,20,20.0,589.562
TB-H1-MSE-MI,18,27,23.0,724.04
TB-H1-MSE-MI,20,25,25.0,838.413
TB-H1-MSE-MI,22,26,26.0,1723.12
TB-H1-MSE-MI,24,33,32.0,1779.7
TB-H1-MSE-MI,26,38,34.0,1839.18
TB-H1-MSE-MI,28,48,45.0,1908.35
TB-H1-MSE-MI,30,47,44.0,2949.41
TB-H1-ME-MI,6,1,1.0,80.784
TB-H1-ME-MI,8,6,5.0,124.706
TB-H1-ME-MI,10,3,3.0,219.431
TB-H1-ME-MI,12,16,16.0,296.848
TB-H1-ME-MI,14,12,11.0,414.893
TB-H1-ME-MI,16,20,20.0,471.294
TB-H1-ME-MI,18,27,27.0,587.113
TB-H1-ME-MI,20,25,24.0,738.489
TB-H1-ME-MI,22,26,25.0,948.021
TB-H1-ME-MI,24,33,32.0,1251.49
TB-H1-ME-MI,26,38,32.0,1482.8
TB-H1-ME-MI,28,48,41.0,1595.8
TB-H1-ME-MI,30,47,42.0,1965.74
TB-H2-MSE-MI,6,1,1.0,105.72
TB-H2-MSE-MI,8,6,6.0,147.565
TB-H2-MSE-MI,10,3,3.0,364.023
TB-H2-MSE-MI,12,16,13.0,480.444
TB-H2-MSE-MI,14,12,12.0,646.348
TB-H2-MSE-MI,16,20,20.0,862.717
TB-H2-MSE-MI,18,27,22.0,806.013
TB-H2-MSE-MI,20,25,19.0,1265.61
TB-H2-MSE-MI,22,26,23.0,1600.34
TB-H2-MSE-MI,24,33,27.0,1531.68
TB-H2-MSE-MI,26,38,38.0,1564.48
TB-H2-MSE-MI,28,48,40.0,2380.68
TB-H2-MSE-MI,30,47,42.0,3085.11
TB-H2-ME-MI,6,1,1.0,80.724
TB-H2-ME-MI,8,6,6.0,134.639
TB-H2-ME-MI,10,3,3.0,237.872
TB-H2-ME-MI,12,16,13.0,313.148
TB-H2-ME-MI,14,12,11.0,433.352
TB-H2-ME-MI,16,20,20.0,547.571
TB-H2-ME-MI,18,27,25.0,646.273
TB-H2-ME-MI,20,25,19.0,736.255
TB-H2-ME-MI,22,26,23.0,988.225
TB-H2-ME-MI,24,33,29.0,1202.46
TB-H2-ME-MI,26,38,36.0,1474.73
TB-H2-ME-MI,28,48,40.0,1776.72
TB-H2-ME-MI,30,47,42.0,1911.55
TB-H1-MSE-AI,6,1,1.0,297.013
TB-H1-MSE-AI,8,6,6.0,551.418
TB-H1-MSE-AI,10,3,3.0,910.076
TB-H1-MSE-AI,12,16,16.0,1257.44
TB-H1-MSE-AI,14,12,11.0,1614.03
TB-H1-MSE-AI,16,20,20.0,1610.21
TB-H1-MSE-AI,18,27,23.0,1956.89
TB-H1-MSE-AI,20,25,25.0,2350.18
TB-H1-MSE-AI,22,26,26.0,4701.56
TB-H1-MSE-AI,24,33,32.0,5308.2
TB-H1-MSE-AI,26,38,35.0,6019.75
TB-H1-MSE-AI,28,48,45.0,6533.47
TB-H1-MSE-AI,30,47,44.0,8395.93
TB-H1-ME-AI,6,1,1.0,199.427
TB-H1-ME-AI,8,6,6.0,306.184
TB-H1-ME-AI,10,3,3.0,541.675
TB-H1-ME-AI,12,16,16.0,729.144
TB-H1-ME-AI,14,12,11.0,1097.13
TB-H1-ME-AI,16,20,20.0,1253.72
TB-H1-ME-AI,18,27,27.0,1597.02
TB-H1-ME-AI,20,25,25.0,2012.86
TB-H1-ME-AI,22,26,25.0,2493.17
TB-H1-ME-AI,24,33,32.0,3028.03
TB-H1-ME-AI,26,38,32.0,3674.9
TB-H1-ME-AI,28,48,41.0,4203.24
TB-H1-ME-AI,30,47,44.0,4792.46
TB-H2-MSE-AI,6,1,1.0,281.803
TB-H2-MSE-AI,8,6,6.0,399.93
TB-H2-MSE-AI,10,3,3.0,1002.83
TB-H2-MSE-AI,12,16,16.0,1250.33
TB-H2-MSE-AI,14,12,12.0,1717.79
TB-H2-MSE-AI,16,20,20.0,2340.37
TB-H2-MSE-AI,18,27,27.0,2184.41
TB-H2-MSE-AI,20,25,25.0,3282.74
TB-H2-MSE-AI,22,26,23.0,4414.27
TB-H2-MSE-AI,24,33,29.0,4450.9
TB-H2-MSE-AI,26,38,38.0,3903.72
TB-H2-MSE-AI,28,48,40.0,6454.05
TB-H2-MSE-AI,30,47,44.0,8659.84
TB-H2-ME-AI,6,1,1.0,209.5
TB-H2-ME-AI,8,6,6.0,325.13
TB-H2-ME-AI,10,3,3.0,567.484
TB-H2-ME-AI,12,16,13.0,715.051
TB-H2-ME-AI,14,12,11.0,1086.69
TB-H2-ME-AI,16,20,20.0,1212.27
TB-H2-ME-AI,18,27,26.0,1508.99
TB-H2-ME-AI,20,25,19.0,1895.55
TB-H2-ME-AI,22,26,23.0,2374.8
TB-H2-ME-AI,24,33,32.0,2961.96
TB-H2-ME-AI,26,38,36.0,3566.8
TB-H2-ME-AI,28,48,40.0,4037.57
TB-H2-ME-AI,30,47,44.0,4580.73
